FL_DATE,AIRLINE,AIRLINE_CODE,ORIGIN_CITY,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT,Delay_actual
20/8/2023,Spirit Air Lines,NK,"Boston, MA","Miami, FL",1620,1626.0,6.0,15.0,1641.0,1922.0,8.0,1957,1930.0,-27.0,217.0,184.0,161.0,1258,0.0,0.0,0.0,0.0,0.0,0
22/9/2021,United Air Lines Inc.,UA,"Chicago, IL","Madison, WI",1755,1750.0,-5.0,18.0,1808.0,1835.0,2.0,1851,1837.0,-14.0,56.0,47.0,27.0,109,0.0,0.0,0.0,0.0,0.0,0
24/7/2019,Alaska Airlines Inc.,AS,"Ketchikan, AK","Seattle, WA",1725,1714.0,-11.0,8.0,1722.0,2002.0,13.0,2020,2015.0,-5.0,115.0,121.0,100.0,680,0.0,0.0,0.0,0.0,0.0,0
21/5/2021,Spirit Air Lines,NK,"Los Angeles, CA","Chicago, IL",40,33.0,-7.0,17.0,50.0,611.0,10.0,633,621.0,-12.0,233.0,228.0,201.0,1744,0.0,0.0,0.0,0.0,0.0,0
11/1/2023,Allegiant Air,G4,"Sarasota/Bradenton, FL","Nashville, TN",1514,1454.0,-20.0,16.0,1510.0,1551.0,6.0,1614,1557.0,-17.0,120.0,123.0,101.0,648,0.0,0.0,0.0,0.0,0.0,0
22/9/2022,Frontier Airlines Inc.,F9,"Atlanta, GA","Chicago, IL",633,629.0,-4.0,20.0,649.0,722.0,13.0,727,735.0,8.0,114.0,126.0,93.0,591,0.0,0.0,0.0,0.0,0.0,0
27/10/2019,Delta Air Lines Inc.,DL,"Tampa, FL","Atlanta, GA",1750,1747.0,-3.0,10.0,1757.0,1900.0,8.0,1924,1908.0,-16.0,94.0,81.0,63.0,406,0.0,0.0,0.0,0.0,0.0,0
17/9/2019,SkyWest Airlines Inc.,OO,"Detroit, MI","Moline, IL",2035,2032.0,-3.0,20.0,2052.0,2054.0,4.0,2115,2058.0,-17.0,100.0,86.0,62.0,373,0.0,0.0,0.0,0.0,0.0,0
31/1/2023,PSA Airlines Inc.,OH,"Providence, RI","Washington, DC",914,901.0,-13.0,36.0,937.0,1058.0,3.0,1100,1101.0,1.0,106.0,120.0,81.0,356,0.0,0.0,0.0,0.0,0.0,0
31/8/2019,Delta Air Lines Inc.,DL,"Atlanta, GA","Miami, FL",1245,1243.0,-2.0,9.0,1252.0,1418.0,4.0,1438,1422.0,-16.0,113.0,99.0,86.0,594,0.0,0.0,0.0,0.0,0.0,0
