FL_DATE,AIRLINE,ORIGIN_CITY,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT,Delay_actual
31/8/2023,Frontier Airlines Inc.,"Houston, TX","Phoenix, AZ",1654,1651,-3,14,1705,1717,9,1747,1726,-21,173,155,132,1009,0,0,0,0,0,0
31/8/2023,Republic Airline,"New York, NY","Madison, WI",2050,2041,-9,25,2106,2159,3,2224,2202,-22,154,141,113,812,0,0,0,0,0,0
31/8/2023,Southwest Airlines Co.,"Denver, CO","Austin, TX",1030,1029,-1,15,1044,1320,11,1335,1331,-4,125,122,96,775,0,0,0,0,0,0
31/8/2023,Delta Air Lines Inc.,"Charlotte, NC","Atlanta, GA",1040,1037,-3,12,1049,1132,6,1157,1138,-19,77,61,43,226,0,0,0,0,0,0
31/8/2023,Delta Air Lines Inc.,"Los Angeles, CA","Detroit, MI",2300,2303,3,20,2323,616,10,630,626,-4,270,263,233,1979,0,0,0,0,0,0
31/8/2023,Endeavor Air Inc.,"Minneapolis, MN","Sioux Falls, SD",1550,1548,-2,18,1606,1643,5,1653,1648,-5,63,60,37,196,0,0,0,0,0,0
31/8/2023,Republic Airline,"Memphis, TN","New York, NY",703,656,-7,11,707,1023,7,1055,1030,-25,172,154,136,963,0,0,0,0,0,0
31/8/2023,Republic Airline,"New York, NY","Norfolk, VA",2110,2102,-8,17,2119,2209,5,2235,2214,-21,85,72,50,296,0,0,0,0,0,0
31/8/2023,Southwest Airlines Co.,"Hartford, CT","Nashville, TN",1330,1329,-1,10,1339,1442,11,1455,1453,-2,145,144,123,852,0,0,0,0,0,0
31/8/2023,American Airlines Inc.,"Dallas/Fort Worth, TX","Santa Barbara, CA",1935,1930,-5,23,1953,2047,5,2103,2052,-11,208,202,174,1316,0,0,0,0,0,0
31/8/2023,Southwest Airlines Co.,"Las Vegas, NV","Santa Ana, CA",1605,1601,-4,25,1626,1712,3,1710,1715,5,65,74,46,226,0,0,0,0,0,0
31/8/2023,United Air Lines Inc.,"Honolulu, HI","Chicago, IL",1715,1710,-5,32,1742,608,11,618,619,1,483,489,446,4243,0,0,0,0,0,0
31/8/2023,Alaska Airlines Inc.,"Seattle, WA","Juneau, AK",1900,1927,27,14,1941,2057,4,2035,2101,26,155,154,136,909,26,0,0,0,0,1
31/8/2023,American Airlines Inc.,"Detroit, MI","Dallas/Fort Worth, TX",515,509,-6,16,525,634,12,710,646,-24,175,157,129,986,0,0,0,0,0,0
31/8/2023,Southwest Airlines Co.,"Denver, CO","Birmingham, AL",1325,1326,1,14,1340,1650,3,1655,1653,-2,150,147,130,1083,0,0,0,0,0,0
31/8/2023,Hawaiian Airlines Inc.,"Lihue, HI","Honolulu, HI",830,824,-6,7,831,853,8,906,901,-5,36,37,22,102,0,0,0,0,0,0
31/8/2023,Southwest Airlines Co.,"Hilo, HI","Honolulu, HI",625,624,-1,9,633,710,4,725,714,-11,60,50,37,216,0,0,0,0,0,0
31/8/2023,Delta Air Lines Inc.,"Asheville, NC","Atlanta, GA",1606,1603,-3,13,1616,1653,8,1702,1701,-1,56,58,37,164,0,0,0,0,0,0
31/8/2023,Republic Airline,"Asheville, NC","Newark, NJ",1241,1236,-5,9,1245,1417,7,1459,1424,-35,138,108,92,583,0,0,0,0,0,0
31/8/2023,Southwest Airlines Co.,"San Jose, CA","Portland, OR",1005,1004,-1,11,1015,1147,2,1150,1149,-1,105,105,92,569,0,0,0,0,0,0
31/8/2023,JetBlue Airways,"San Juan, PR","Newark, NJ",335,328,-7,12,340,707,11,741,718,-23,246,230,207,1608,0,0,0,0,0,0
31/8/2023,American Airlines Inc.,"Tulsa, OK","Charlotte, NC",705,700,-5,13,713,1005,25,1030,1030,0,145,150,112,842,0,0,0,0,0,0
31/8/2023,Delta Air Lines Inc.,"Washington, DC","Atlanta, GA",1010,1010,0,19,1029,1150,9,1157,1159,2,107,109,81,547,0,0,0,0,0,0
